_id,APPLICATION_TYPE,APPLICATION#,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,DATE_SUBMITTED,STATUS,X,Y,DESCRIPTION,REFERENCE_FILE#,FOLDERRSN,WARD_NUMBER,WARD_NAME,COMMUNITY_MEETING_DATE,COMMUNITY_MEETING_TIME,COMMUNITY_MEETING_LOCATION,APPLICATION_URL,CONTACT_NAME,CONTACT_PHONE,CONTACT_EMAIL,PARENT_FOLDER_NUMBER
15648,OZ,12 243614 NNY 24 OZ,37,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313012.904,4849165.028,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15649,OZ,12 243614 NNY 24 OZ,38,KENNETH WOOD,CRES, ,   ,2012-09-10T00:00:00,Closed,313042.845,4849156.378,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,04,Parkdale-High Park,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15650,OZ,20 230695 NNY 17 OZ,10,RUDDINGTON,DR, ,M2K,2020-12-18T00:00:00,OMB Approved,313529.412,4849654.673,"Zoning bylaw Amendment to retain the existing 13-storey rental apartment building with 155 residential units, construct a 14-storey rental apartment building with 182 residential units, and construct a 10-storey condominium apartment building with 127 residential units.  Total 464 units.  Parkland dedication proposed. 227 proposed vehicular parking spaces.  FSI = 2.88.",,4855800,17,Don Valley North,,,,http://app.toronto.ca/AIC/index.do?folderRsn=z6%2FrvmD5SElPIDRzgju9bg%3D%3D,"Liu, Philip",(416) 396-5574,Philip.Liu@toronto.ca,
15651,OZ,21 191601 ESC 20 OZ,1552,KINGSTON,RD, ,M1N,2021-07-29T00:00:00,Closed,323491.73,4838708.877,"Zoning By-law Amendment application to permit a 12-storey residential building containing 168 units, four levels of underground parking with 110 parking spaces and 129 bicycle parking spaces. The application has been appealed to the Ontario Land Tribunal, Case No. OLT-24-001214.",,4970047,20,Scarborough Southwest,2022-04-26T00:00:00,6:00pm,Virtual,http://app.toronto.ca/AIC/index.do?folderRsn=hERpun74YCKIhGR%2FvG08Cw%3D%3D,,,,
15652,SA,21 191603 ESC 20 SA,1552,KINGSTON,RD, ,M1N,2021-07-29T00:00:00,Appeal Received,323491.73,4838708.877,"Site Plan Control application for the construction of a 12-storey residential building containing 168 units, three levels of underground parking with 110 parking spaces, and 129 bicycle parking spaces. The application has been appealed to the Ontario Land Tribunal, Case No. OLT-24-001214.",,4970049,20,Scarborough Southwest,,,,http://app.toronto.ca/AIC/index.do?folderRsn=j042phcYqi2Qg9Mng2nY%2BA%3D%3D,"Bulger, Bram",416-394-2945,Bram.Bulger@toronto.ca,21 191601 ESC 20 OZ
15653,SA,20 226919 ESC 25 SA,755,MORNINGSIDE,AVE, ,M1C,2020-12-08T00:00:00,Closed,329499.212,4849450.727,Development of a new 2-storey institutional building known as the Indigenous House.,,4851251,25,Scarborough-Rouge Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=ajiFEtUrRdaMZqE7hCb1mg%3D%3D,,,,
15654,OZ,20 215681 ESC 22 OZ,3175,SHEPPARD,AVE,E,M1T,2020-11-05T00:00:00,Under Review ,319738.484,4848352.26,INACTIVE CLOSED - Refer to the new application:  24 106385 ESC 22 OZDevelopment of a 4-storey residential building with 35 units and 41 vehicle parking spaces.,,4838073,22,Scarborough-Agincourt,,,,http://app.toronto.ca/AIC/index.do?folderRsn=bGZWOvD3%2FN%2F5vPoVWQEVOQ%3D%3D,"Wan, Jayvis",416-396-7029,jayvis.wan@toronto.ca,
15655,OZ,20 215681 ESC 22 OZ,3177,SHEPPARD,AVE,E,M1T,2020-11-05T00:00:00,Under Review ,319756.712,4848358.056,INACTIVE CLOSED - Refer to the new application:  24 106385 ESC 22 OZDevelopment of a 4-storey residential building with 35 units and 41 vehicle parking spaces.,,4838073,22,Scarborough-Agincourt,,,,http://app.toronto.ca/AIC/index.do?folderRsn=bGZWOvD3%2FN%2F5vPoVWQEVOQ%3D%3D,"Wan, Jayvis",416-396-7029,jayvis.wan@toronto.ca,
15656,OZ,20 215681 ESC 22 OZ,3179,SHEPPARD,AVE,E,M1T,2020-11-05T00:00:00,Under Review ,319774.397,4848362.617,INACTIVE CLOSED - Refer to the new application:  24 106385 ESC 22 OZDevelopment of a 4-storey residential building with 35 units and 41 vehicle parking spaces.,,4838073,22,Scarborough-Agincourt,,,,http://app.toronto.ca/AIC/index.do?folderRsn=bGZWOvD3%2FN%2F5vPoVWQEVOQ%3D%3D,"Wan, Jayvis",416-396-7029,jayvis.wan@toronto.ca,
15657,OZ,20 215681 ESC 22 OZ,3181,SHEPPARD,AVE,E,M1T,2020-11-05T00:00:00,Under Review ,319791.399,4848369.182,INACTIVE CLOSED - Refer to the new application:  24 106385 ESC 22 OZDevelopment of a 4-storey residential building with 35 units and 41 vehicle parking spaces.,,4838073,22,Scarborough-Agincourt,,,,http://app.toronto.ca/AIC/index.do?folderRsn=bGZWOvD3%2FN%2F5vPoVWQEVOQ%3D%3D,"Wan, Jayvis",416-396-7029,jayvis.wan@toronto.ca,
15658,OZ,20 230438 STE 12 OZ,190,SOUDAN,AVE, ,M4S,2020-12-18T00:00:00,Closed,313548.039,4840441.909,"Proposal for 21-storey residential building with 167 new rental units, in addition to maintaining the 185 rental units in the existing apartment building. Approximately 12493 square metres of new residential GFA is proposed, resulting in an overall FSI of 4.5 times the area of the lot. The existing 19-storey residential rental building located on the northerly portion of the subject site, municipally known as 18 Brownlow Avenue, will be retained.",,4855497,12,Toronto-St. Paul's,2021-04-22T00:00:00,6:30pm,Online,http://app.toronto.ca/AIC/index.do?folderRsn=NipFr%2Byj5w7d7u%2FZbs7Tyw%3D%3D,,,,
15659,PL,21 199459 WET 03 PL,16,NEWBRIDGE,RD, ,M8Z,2021-08-17T00:00:00,Under Review ,301501.431,4831620.326,To erect a 15 m monopole tower and associated equipment. The tower will be located in a Core Employment Area north of North Queen Street and east of Shorncliff Road at 16 Newbridge Raod.,,4979099,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=GLY%2FsJc%2FM5GxYcMtA0ouDg%3D%3D,"Kolominsky, Daniel",416-394-5462,Daniel.Kolominsky@toronto.ca,
15660,OZ,12 243614 NNY 24 OZ,57,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313058.647,4849167.356,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15661,OZ,12 243614 NNY 24 OZ,59,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313060.31,4849163.697,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15662,OZ,12 243614 NNY 24 OZ,61,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313061.807,4849159.372,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15663,OZ,12 243614 NNY 24 OZ,63,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313063.304,4849154.881,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15664,OZ,12 243614 NNY 24 OZ,65,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313064.801,4849150.39,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15665,OZ,12 243614 NNY 24 OZ,67,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313066.465,4849144.735,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15666,OZ,12 243614 NNY 24 OZ,69,KENNETH WOOD,CRES, ,M2N,2012-09-10T00:00:00,Closed,313068.128,4849139.246,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road having two access points from Finch Avenue East.   The remaining two blocks would front on to Finch Avenue East.  The townhouses would be approximately 10.5 metres and 4-storeys in height.  Proposed are a total of 58 residential parking spaces (1 per residential unit) with visitor parking on the proposed new street.",,3210626,18,Willowdale,2013-02-04T00:00:00,7:00 p.m.,"Finch Avenue Public School, Gym, 277 Finch Avenue East",,,,,
15667,OZ,13 133965 NNY 16 OZ,123 B,ROSELAWN,AVE, ,M4R,2013-03-15T00:00:00,Closed,312628.024,4840882.185,"Four blocks of three storey residential condominium townhouses, each containing 3 dwelling units and one level of underground parking under the site.  Total of 12 dwelling units proposed.Zoning By-law 1191-2017 (OMB)",,3313651,08,Eglinton-Lawrence,2014-01-07T00:00:00,6:30p.m.,North Toronto Memorial Community Recreation Centre,,,,,
15668,OZ,13 133965 NNY 16 OZ,123 C,ROSELAWN,AVE, ,M4R,2013-03-15T00:00:00,Closed,312629.806,4840876.181,"Four blocks of three storey residential condominium townhouses, each containing 3 dwelling units and one level of underground parking under the site.  Total of 12 dwelling units proposed.Zoning By-law 1191-2017 (OMB)",,3313651,08,Eglinton-Lawrence,2014-01-07T00:00:00,6:30p.m.,North Toronto Memorial Community Recreation Centre,,,,,
15669,OZ,13 133965 NNY 16 OZ,125 B,ROSELAWN,AVE, ,M4R,2013-03-15T00:00:00,Closed,312608.416,4840876.181,"Four blocks of three storey residential condominium townhouses, each containing 3 dwelling units and one level of underground parking under the site.  Total of 12 dwelling units proposed.Zoning By-law 1191-2017 (OMB)",,3313651,08,Eglinton-Lawrence,2014-01-07T00:00:00,6:30p.m.,North Toronto Memorial Community Recreation Centre,,,,,
15670,SA,21 187375 NNY 06 SA,179-181,COCKSFIELD,AVE, ,M3H,2021-07-21T00:00:00,Under Review ,308682.868,4845778.845,"Site plan application to permit the proposal for a 14-storey mixed use building with 19,483 square metres of GFA, including 462 squrae metres of commercial space and 360 square metres of daycare space, resulting in an FSI of 4.0. The building would step down to 6 storeys on Cocksfield Avenue. There would be 270 (rental) residential units, including 54 (20%) affordable (rental) units. There would be two levels of underground parking containing a total of 213 parking spaces, including 197 parking spaces for residents (including 9 barrier-free parking spaces) and 16 parking spaces for commercial uses and visitors.   [Zoning By Law Amendment Application: 20 205918 NNY 06 OZ /Rental Housing Application: 20 205924 NNY 06 RH]",,4964947,06,York Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=YkBlvJZdqa1vnvK9fHDqIA%3D%3D,"Snow, Kelly",(416) 395-7124,Kelly.Snow@toronto.ca,20 205918 NNY 06 OZ
15671,SA,21 187375 NNY 06 SA,177,COCKSFIELD,AVE, ,M3H,2021-07-21T00:00:00,Under Review ,308706.783,4845782.362,"Site plan application to permit the proposal for a 14-storey mixed use building with 19,483 square metres of GFA, including 462 squrae metres of commercial space and 360 square metres of daycare space, resulting in an FSI of 4.0. The building would step down to 6 storeys on Cocksfield Avenue. There would be 270 (rental) residential units, including 54 (20%) affordable (rental) units. There would be two levels of underground parking containing a total of 213 parking spaces, including 197 parking spaces for residents (including 9 barrier-free parking spaces) and 16 parking spaces for commercial uses and visitors.   [Zoning By Law Amendment Application: 20 205918 NNY 06 OZ /Rental Housing Application: 20 205924 NNY 06 RH]",,4964947,06,York Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=YkBlvJZdqa1vnvK9fHDqIA%3D%3D,"Snow, Kelly",(416) 395-7124,Kelly.Snow@toronto.ca,20 205918 NNY 06 OZ
15672,CD,21 124099 STE 13 CD,609,SHERBOURNE,ST, ,M4X,2021-03-08T00:00:00,Closed,314759.795,4836630.847,Draft Plan of Condominium for 372 units within a 38-storey building.,,4889417,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=OoFkgPX4XzKLa3v42x6voA%3D%3D,,,,10 247063 STE 28 OZ
15673,CD,21 124099 STE 13 CD,611,SHERBOURNE,ST, ,M4X,2021-03-08T00:00:00,Closed,314760.535,4836638.636,Draft Plan of Condominium for 372 units within a 38-storey building.,,4889417,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=OoFkgPX4XzKLa3v42x6voA%3D%3D,,,,10 247063 STE 28 OZ
15674,CD,21 124099 STE 13 CD,575,BLOOR,ST,E,   ,2021-03-08T00:00:00,Closed,314993.18,4836679.706,Draft Plan of Condominium for 372 units within a 38-storey building.,,4889417,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=OoFkgPX4XzKLa3v42x6voA%3D%3D,,,,10 247063 STE 28 OZ
15675,CD,21 124114 STE 13 CD,6,GLEN,RD, ,M4X,2021-03-08T00:00:00,Closed,314842.252,4836632.198,Draft Plan of Condominium for 388 units within a 45-storey mixed-use building.,,4889432,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=QUjYaZJzNawGV6Nd9lqs%2FQ%3D%3D,,,,10 247063 STE 28 OZ
15676,CD,21 124114 STE 13 CD,100,HOWARD,ST, ,   ,2021-03-08T00:00:00,Closed,315112.267,4836625.842,Draft Plan of Condominium for 388 units within a 45-storey mixed-use building.,,4889432,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=QUjYaZJzNawGV6Nd9lqs%2FQ%3D%3D,,,,10 247063 STE 28 OZ
15677,CD,21 124114 STE 13 CD,76,HOWARD,ST, ,M4X,2021-03-08T00:00:00,Closed,315061.971,4836632.274,Draft Plan of Condominium for 388 units within a 45-storey mixed-use building.,,4889432,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=QUjYaZJzNawGV6Nd9lqs%2FQ%3D%3D,,,,10 247063 STE 28 OZ
15678,CD,21 124114 STE 13 CD,64,HOWARD,ST, ,   ,2021-03-08T00:00:00,Closed,315027.161,4836631.116,Draft Plan of Condominium for 388 units within a 45-storey mixed-use building.,,4889432,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=QUjYaZJzNawGV6Nd9lqs%2FQ%3D%3D,,,,10 247063 STE 28 OZ
15679,CD,21 124114 STE 13 CD,62,HOWARD,ST, ,   ,2021-03-08T00:00:00,Closed,315020.627,4836630.9,Draft Plan of Condominium for 388 units within a 45-storey mixed-use building.,,4889432,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=QUjYaZJzNawGV6Nd9lqs%2FQ%3D%3D,,,,10 247063 STE 28 OZ
15680,CD,21 124114 STE 13 CD,60,HOWARD,ST, ,   ,2021-03-08T00:00:00,Closed,315013.565,4836630.679,Draft Plan of Condominium for 388 units within a 45-storey mixed-use building.,,4889432,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=QUjYaZJzNawGV6Nd9lqs%2FQ%3D%3D,,,,10 247063 STE 28 OZ
15681,CD,21 158549 STE 04 CD,422,RONCESVALLES,AVE, ,M6R,2021-05-21T00:00:00,Closed,308697.846,4834433.888,Draft Plan of Condominium for 93 residential dwelling units.,,4931010,04,Parkdale-High Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=1a8LrXy4eS38ohuERaQQsw%3D%3D,,,,15 215438 STE 14 OZ
15682,CD,21 158549 STE 04 CD,430,RONCESVALLES,AVE, ,M6R,2021-05-21T00:00:00,Closed,308694.724,4834453.094,Draft Plan of Condominium for 93 residential dwelling units.,,4931010,04,Parkdale-High Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=1a8LrXy4eS38ohuERaQQsw%3D%3D,,,,15 215438 STE 14 OZ
15683,CD,21 158549 STE 04 CD,424,RONCESVALLES,AVE, ,M6R,2021-05-21T00:00:00,Closed,308697.627,4834437.099,Draft Plan of Condominium for 93 residential dwelling units.,,4931010,04,Parkdale-High Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=1a8LrXy4eS38ohuERaQQsw%3D%3D,,,,15 215438 STE 14 OZ
15684,CD,21 158549 STE 04 CD,76,HOWARD PARK,AVE, ,M6R,2021-05-21T00:00:00,Closed,308671.153,4834406.679,Draft Plan of Condominium for 93 residential dwelling units.,,4931010,04,Parkdale-High Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=1a8LrXy4eS38ohuERaQQsw%3D%3D,,,,15 215438 STE 14 OZ
15685,CD,21 158549 STE 04 CD,424 1/2,RONCESVALLES,AVE, ,M6R,2021-05-21T00:00:00,Closed,308681.521,4834433.17,Draft Plan of Condominium for 93 residential dwelling units.,,4931010,04,Parkdale-High Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=1a8LrXy4eS38ohuERaQQsw%3D%3D,,,,15 215438 STE 14 OZ
15686,CD,21 158549 STE 04 CD,436,RONCESVALLES,AVE, ,M6R,2021-05-21T00:00:00,Closed,308692.327,4834460.019,Draft Plan of Condominium for 93 residential dwelling units.,,4931010,04,Parkdale-High Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=1a8LrXy4eS38ohuERaQQsw%3D%3D,,,,15 215438 STE 14 OZ
15687,SA,20 220827 ESC 24 SA,144,GALLOWAY,RD, ,M1E,2020-11-20T00:00:00,NOAC Issued,329375.239,4846573.419,"Revised submission (June 2023).Proposal for a new 10-storey residential building which would provide 168 rental units. The proposed building would have a total gross floor area of 10,622 square metres and a Floor Space Index of 4.9. A total of 683 square metres of amenity space comprising of 343 and 340 square metres of indoor and outdoor space respectively, would be provided. 76 vehicular parking spaces on 1 level of underground parking garage and 132 bicycle parking spaces would be provided. The owners have applied for the City's Open Door Affordable Housing Program.",,4844077,24,Scarborough-Guildwood,,,,http://app.toronto.ca/AIC/index.do?folderRsn=MLhP3ldmIPR71K3OfLUVNw%3D%3D,"Liu, Philip",(416) 396-5574,Philip.Liu@toronto.ca,
15688,CD,21 177060 NNY 17 CD,14,DERVOCK,CRES, ,M2K,2021-06-28T00:00:00,Closed,314364.241,4847257.461,"Draft Plan of Standard Condominium application to permit a three-storey stacked-townhouse development containing 24 units with a total gross floor area of 2462.40 square metres. Parking is proposed within an underground garage providing a total of 24 parking spaces, three of which will be dedicated for visitors. Associated applications include, rezoning application 15 230582 NNY 24 OZ, and site plan application 15 230603 NNY 24 SA.",,4952964,17,Don Valley North,,,,http://app.toronto.ca/AIC/index.do?folderRsn=uK7dByR1A3nnWoQdWARStw%3D%3D,,,,15 230582 NNY 24 OZ
15689,SA,21 199117 STE 04 SA,1926,LAKE SHORE,BLVD,W,M6S,2021-08-16T00:00:00,Closed,307415.674,4832657.963,"A Site Plan Application was submitted (16 270607 WET 13 SA) and the Notice of ApprovalConditions were issued on October 28, 2018. The Statement of Approval was issued on May 8,2019. Revisions have been made to the architectural drawings and landscape drawingssince the Statement of Approval was issued and a Site Plan Amendment Application is required.The changes include reducing the amount of visitor parking to provide more locker space,  revisions to the landscape plans, the addition of  an indoor pool to the west tower, and creating a combined suite in the east tower.",,4978697,04,Parkdale-High Park,,,,http://app.toronto.ca/AIC/index.do?folderRsn=yKC%2BEYPKu%2BoeCWxOGvB72Q%3D%3D,,,,16 270607 WET 13 SA
15690,SA,21 199156 STE 19 SA,9,DAWES,RD, ,M4C,2021-08-16T00:00:00,NOAC Issued,321172.272,4838463.558,"Site Plan Approval application for two mixed-use towers having heights of 27 and 33-storeys, atop a 5-storey podium, which includes 769 residential units.",,4978749,19,Beaches-East York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=G5V%2FQ%2BQ3GUg%2FRVqw6McP7g%3D%3D,"Kerr, Seanna",416-395-7053,Seanna.Kerr@toronto.ca,19 186473 STE 19 OZ
15691,SA,21 199156 STE 19 SA,25,DAWES,RD, ,M4C,2021-08-16T00:00:00,NOAC Issued,321173.692,4838548.193,"Site Plan Approval application for two mixed-use towers having heights of 27 and 33-storeys, atop a 5-storey podium, which includes 769 residential units.",,4978749,19,Beaches-East York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=G5V%2FQ%2BQ3GUg%2FRVqw6McP7g%3D%3D,"Kerr, Seanna",416-395-7053,Seanna.Kerr@toronto.ca,19 186473 STE 19 OZ
15692,SA,21 146891 STE 11 SA,33,AVENUE,RD, ,M5R,2021-04-28T00:00:00,NOAC Issued,313286.5,4836537.4,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15693,SA,21 146891 STE 11 SA,136-138,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313326.079,4836540.38,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15694,SA,21 146891 STE 11 SA,140,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313314.655,4836537.07,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15695,SA,21 146891 STE 11 SA,136,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313319.8,4836550.2,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15696,SA,21 146891 STE 11 SA,142,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313294.666,4836518.41,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15697,SA,21 146891 STE 11 SA,144,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313290.105,4836516.93,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15698,SA,21 146891 STE 11 SA,146,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313284.908,4836515.44,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15699,SA,21 146891 STE 11 SA,148,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313278.65,4836513.64,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
15700,SA,21 146891 STE 11 SA,150,YORKVILLE,AVE, ,M5R,2021-04-28T00:00:00,NOAC Issued,313267.735,4836523.316,"Proposal for a 31-storey mixed-use building.Minor Variance approval granted for 2 additional storeys (Feb 7, 2024).",,4916283,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=xUxMDtTpG1Z9vAvAd%2B8TLQ%3D%3D,"Biddanda Pavan, Esha",416-392-1975,esha.biddandapavan@toronto.ca,20 126634 STE 11 OZ
